url_length,content_length,special_chars_in_url,digits_in_url,method_code,is_anomaly
10,0,2,0,1,0
27,0,9,6,1,1
6,0,1,0,1,0
10,0,1,0,1,0
15,0,4,2,1,0
17,0,2,0,1,0
10,0,2,0,1,0
10,36,1,0,2,0
15,0,4,2,1,0
5,0,1,0,1,0
20,0,6,0,4,1
5,0,1,0,1,0
10,0,1,0,1,0
17,0,2,0,1,0
10,36,2,0,2,0
10,36,1,0,2,0
17,0,2,0,4,0
10,0,2,0,1,0
10,0,2,0,1,0
17,0,2,0,1,0
17,36,2,0,2,0
15,0,4,2,1,0
52,75,9,0,2,1
10,36,1,0,3,0
10,36,2,0,2,0
6,0,1,0,1,0
5,0,1,0,1,0
10,0,2,0,1,0
10,0,2,0,1,0
10,0,2,0,1,0
6,0,1,0,1,0
52,0,9,0,4,1
6,36,1,0,2,0
52,0,9,0,1,1
10,0,1,0,1,0
6,0,1,0,1,0
10,0,2,0,1,0
17,0,2,0,1,0
17,0,2,0,1,0
6,0,1,0,1,0
15,0,4,2,1,0
5,0,1,0,1,0
10,0,1,0,1,0
31,75,10,0,3,1
5,0,1,0,1,0
17,36,2,0,3,0
6,0,1,0,1,0
5,0,1,0,1,0
10,0,2,0,1,0
10,0,1,0,1,0
17,36,2,0,2,0
6,0,1,0,1,0
5,36,1,0,2,0
10,0,2,0,1,0
10,0,1,0,1,0
17,0,2,0,1,0
17,0,2,0,1,0
10,0,1,0,1,0
10,0,2,0,1,0
5,0,1,0,1,0
6,0,1,0,1,0
5,0,1,0,1,0
17,0,2,0,1,0
5,0,1,0,1,0
17,0,2,0,4,0
5,36,1,0,2,0
17,0,2,0,1,0
17,36,2,0,2,0
6,36,1,0,2,0
17,0,2,0,1,0
15,0,4,2,1,0
6,0,1,0,1,0
15,0,4,2,1,0
10,0,2,0,1,0
17,36,2,0,2,0
5,0,1,0,1,0
6,36,1,0,3,0
5,0,1,0,1,0
10,36,1,0,3,0
6,0,1,0,1,0
15,0,4,2,1,0
17,0,2,0,4,0
10,36,2,0,2,0
15,0,4,2,1,0
10,0,1,0,1,0
10,0,1,0,1,0
17,0,2,0,1,0
10,0,1,0,1,0
15,0,4,2,1,0
31,75,10,0,2,1
52,0,9,0,4,1
6,36,1,0,2,0
6,36,1,0,2,0
10,0,2,0,1,0
6,36,1,0,2,0
10,36,2,0,2,0
10,0,2,0,1,0
10,0,2,0,1,0
5,0,1,0,1,0
5,0,1,0,1,0
6,0,1,0,1,0
15,0,4,2,1,0
17,0,2,0,4,0
17,0,2,0,1,0
17,0,2,0,1,0
10,0,2,0,1,0
5,0,1,0,1,0
27,0,9,6,1,1
5,36,1,0,2,0
17,0,2,0,1,0
27,0,9,6,1,1
15,0,4,2,1,0
6,0,1,0,1,0
17,0,2,0,1,0
10,36,1,0,2,0
10,36,1,0,2,0
15,0,4,2,1,0
5,0,1,0,1,0
15,0,4,2,1,0
15,0,4,2,1,0
5,36,1,0,2,0
17,0,2,0,1,0
10,36,1,0,3,0
6,0,1,0,1,0
6,36,1,0,2,0
17,36,2,0,2,0
27,0,9,6,1,1
5,0,1,0,1,0
21,75,7,3,3,1
36,75,10,1,2,1
6,0,1,0,1,0
10,0,2,0,1,0
17,36,2,0,2,0
36,0,10,1,1,1
10,0,2,0,1,0
5,0,1,0,1,0
10,36,1,0,2,0
10,0,1,0,1,0
10,0,2,0,1,0
5,0,1,0,4,0
10,0,2,0,1,0
10,0,1,0,1,0
52,75,9,0,3,1
15,0,4,2,1,0
10,0,2,0,1,0
5,0,1,0,1,0
5,0,1,0,1,0
6,0,1,0,1,0
5,0,1,0,1,0
10,36,2,0,2,0
36,75,10,1,2,1
17,0,2,0,1,0
5,0,1,0,4,0
5,0,1,0,1,0
15,0,4,2,1,0
15,0,4,2,1,0
10,0,1,0,1,0
10,0,1,0,1,0
10,36,2,0,2,0
15,36,4,2,3,0
6,0,1,0,1,0
15,0,4,2,1,0
27,0,9,6,1,1
15,0,4,2,4,0
5,0,1,0,1,0
6,0,1,0,1,0
15,36,4,2,2,0
17,0,2,0,1,0
10,36,1,0,2,0
36,75,10,1,2,1
10,36,1,0,3,0
5,0,1,0,1,0
10,0,1,0,1,0
10,0,2,0,1,0
17,0,2,0,1,0
17,0,2,0,1,0
6,0,1,0,1,0
5,0,1,0,4,0
27,0,9,6,1,1
17,0,2,0,1,0
17,36,2,0,2,0
6,0,1,0,4,0
27,0,9,6,1,1
27,0,9,6,1,1
10,0,2,0,1,0
5,0,1,0,4,0
10,0,1,0,1,0
6,36,1,0,2,0
10,36,2,0,2,0
10,0,1,0,1,0
10,0,2,0,1,0
10,0,2,0,1,0
10,0,2,0,1,0
10,0,1,0,1,0
27,0,9,6,1,1
21,75,7,3,3,1
31,0,10,0,1,1
10,0,1,0,1,0
15,0,4,2,1,0
15,0,4,2,1,0
10,0,1,0,1,0
5,0,1,0,1,0
17,36,2,0,2,0
10,0,1,0,1,0
15,0,4,2,1,0
17,0,2,0,1,0
5,0,1,0,1,0
10,0,2,0,1,0
5,0,1,0,1,0
17,36,2,0,2,0
36,0,10,1,1,1
6,0,1,0,1,0
6,0,1,0,1,0
10,0,1,0,1,0
5,36,1,0,2,0
6,0,1,0,1,0
10,0,2,0,1,0
10,36,2,0,2,0
6,0,1,0,1,0
6,0,1,0,1,0
10,0,1,0,1,0
15,0,4,2,1,0
27,0,9,6,4,1
15,0,4,2,1,0
6,0,1,0,1,0
10,0,2,0,1,0
17,0,2,0,1,0
5,0,1,0,1,0
15,36,4,2,2,0
17,0,2,0,1,0
17,0,2,0,1,0
31,0,10,0,4,1
5,36,1,0,2,0
5,0,1,0,1,0
17,36,2,0,2,0
5,36,1,0,3,0
10,0,2,0,1,0
5,0,1,0,1,0
36,0,10,1,4,1
5,0,1,0,1,0
15,0,4,2,1,0
5,0,1,0,1,0
27,0,9,6,1,1
31,0,10,0,4,1
27,0,9,6,1,1
21,75,7,3,3,1
5,0,1,0,1,0
20,0,6,0,1,1
17,0,2,0,1,0
5,36,1,0,2,0
20,0,6,0,1,1
10,0,2,0,1,0
10,0,2,0,1,0
52,0,9,0,1,1
6,0,1,0,1,0
21,75,7,3,2,1
27,0,9,6,1,1
36,75,10,1,2,1
6,0,1,0,1,0
6,0,1,0,1,0
6,0,1,0,1,0
15,0,4,2,1,0
10,0,2,0,1,0
6,0,1,0,1,0
15,0,4,2,1,0
27,0,9,6,1,1
21,0,7,3,4,1
17,0,2,0,1,0
6,0,1,0,1,0
10,36,2,0,3,0
10,0,2,0,1,0
15,0,4,2,1,0
5,0,1,0,1,0
5,0,1,0,1,0
6,0,1,0,1,0
15,0,4,2,1,0
10,0,1,0,1,0
10,0,2,0,1,0
10,36,1,0,2,0
5,36,1,0,2,0
6,0,1,0,1,0
6,0,1,0,1,0
17,0,2,0,1,0
10,36,1,0,2,0
31,0,10,0,4,1
15,0,4,2,4,0
6,0,1,0,1,0
10,36,1,0,2,0
17,0,2,0,1,0
10,0,1,0,1,0
15,0,4,2,1,0
5,0,1,0,1,0
15,36,4,2,2,0
10,0,2,0,1,0
10,36,1,0,3,0
6,0,1,0,4,0
10,36,2,0,3,0
6,0,1,0,1,0
10,0,1,0,1,0
15,0,4,2,1,0
17,36,2,0,2,0
20,75,6,0,2,1
21,0,7,3,4,1
17,0,2,0,1,0
17,0,2,0,1,0
27,0,9,6,1,1
52,0,9,0,1,1
6,0,1,0,1,0
10,0,1,0,1,0
5,0,1,0,1,0
5,36,1,0,3,0
10,0,1,0,1,0
10,0,1,0,1,0
15,0,4,2,4,0
10,0,2,0,1,0
17,36,2,0,2,0
52,0,9,0,4,1
17,0,2,0,1,0
10,0,2,0,1,0
10,0,2,0,1,0
21,75,7,3,3,1
5,0,1,0,4,0
15,0,4,2,1,0
10,36,1,0,2,0
10,36,2,0,3,0
10,0,2,0,1,0
17,0,2,0,1,0
15,0,4,2,1,0
10,36,1,0,2,0
6,0,1,0,1,0
5,0,1,0,1,0
10,0,1,0,1,0
17,36,2,0,3,0
15,0,4,2,1,0
10,0,2,0,1,0
10,0,1,0,1,0
10,0,2,0,1,0
10,0,2,0,1,0
10,0,2,0,1,0
52,75,9,0,3,1
17,0,2,0,1,0
17,0,2,0,1,0
15,0,4,2,1,0
17,0,2,0,4,0
15,0,4,2,1,0
17,0,2,0,4,0
5,0,1,0,1,0
15,0,4,2,4,0
15,0,4,2,1,0
6,0,1,0,4,0
10,0,1,0,1,0
10,0,2,0,1,0
10,36,1,0,2,0
10,36,1,0,3,0
5,0,1,0,1,0
15,36,4,2,3,0
17,0,2,0,1,0
10,0,1,0,1,0
15,0,4,2,1,0
17,0,2,0,1,0
10,0,1,0,1,0
10,0,1,0,1,0
5,0,1,0,1,0
5,0,1,0,1,0
10,36,2,0,2,0
27,0,9,6,1,1
17,0,2,0,1,0
10,0,2,0,1,0
6,36,1,0,3,0
10,0,2,0,1,0
5,0,1,0,1,0
10,0,1,0,1,0
10,0,1,0,1,0
6,0,1,0,1,0
10,0,1,0,1,0
17,0,2,0,1,0
17,0,2,0,1,0
15,36,4,2,2,0
17,0,2,0,1,0
17,36,2,0,2,0
15,0,4,2,1,0
10,36,2,0,2,0
10,0,2,0,1,0
10,0,1,0,1,0
15,36,4,2,2,0
5,0,1,0,1,0
10,0,2,0,1,0
6,0,1,0,1,0
10,0,2,0,1,0
6,0,1,0,4,0
10,0,2,0,1,0
6,0,1,0,1,0
17,0,2,0,1,0
10,0,1,0,1,0
10,0,2,0,1,0
17,0,2,0,1,0
17,0,2,0,1,0
10,0,1,0,1,0
10,0,2,0,1,0
17,0,2,0,1,0
17,0,2,0,1,0
17,0,2,0,1,0
6,0,1,0,1,0
6,36,1,0,2,0
17,0,2,0,1,0
10,0,2,0,1,0
21,0,7,3,1,1
36,0,10,1,1,1
10,0,1,0,1,0
10,0,2,0,1,0
10,0,2,0,1,0
10,36,1,0,2,0
15,0,4,2,1,0
17,0,2,0,1,0
31,0,10,0,1,1
10,0,1,0,1,0
6,0,1,0,4,0
6,0,1,0,1,0
6,0,1,0,1,0
52,75,9,0,3,1
6,36,1,0,2,0
15,0,4,2,1,0
5,0,1,0,1,0
15,0,4,2,1,0
17,0,2,0,1,0
10,0,1,0,1,0
6,0,1,0,1,0
10,0,2,0,1,0
10,0,1,0,1,0
17,0,2,0,1,0
15,0,4,2,4,0
15,0,4,2,4,0
10,0,1,0,1,0
10,0,1,0,1,0
6,0,1,0,1,0
15,0,4,2,1,0
10,0,1,0,1,0
5,0,1,0,1,0
10,0,2,0,1,0
5,0,1,0,1,0
17,0,2,0,1,0
10,0,2,0,1,0
15,0,4,2,1,0
15,0,4,2,4,0
10,36,1,0,3,0
5,36,1,0,2,0
21,75,7,3,2,1
15,0,4,2,1,0
17,36,2,0,2,0
10,0,2,0,1,0
5,0,1,0,1,0
10,0,1,0,4,0
10,0,2,0,1,0
52,0,9,0,4,1
15,36,4,2,3,0
6,36,1,0,2,0
5,36,1,0,2,0
10,36,2,0,3,0
10,0,1,0,1,0
52,75,9,0,2,1
15,0,4,2,1,0
15,36,4,2,2,0
17,0,2,0,1,0
17,0,2,0,1,0
15,0,4,2,1,0
17,36,2,0,2,0
6,0,1,0,1,0
6,0,1,0,1,0
10,0,1,0,4,0
5,36,1,0,2,0
15,0,4,2,4,0
10,0,2,0,1,0
15,36,4,2,3,0
10,0,1,0,1,0
15,36,4,2,2,0
10,36,2,0,2,0
10,36,2,0,2,0
36,75,10,1,2,1
6,36,1,0,2,0
5,0,1,0,1,0
17,36,2,0,2,0
17,0,2,0,1,0
21,75,7,3,2,1
5,36,1,0,2,0
10,0,2,0,1,0
20,0,6,0,4,1
15,0,4,2,1,0
17,0,2,0,1,0
36,75,10,1,3,1
10,0,1,0,1,0
10,0,2,0,1,0
17,36,2,0,2,0
5,0,1,0,4,0
10,0,2,0,1,0
27,0,9,6,1,1
10,36,2,0,3,0
10,36,1,0,2,0
6,0,1,0,1,0
15,0,4,2,1,0
10,0,2,0,4,0
10,0,2,0,1,0
10,36,2,0,2,0
10,0,2,0,1,0
15,0,4,2,1,0
6,36,1,0,2,0
10,0,2,0,1,0
10,36,1,0,2,0
5,0,1,0,1,0
17,0,2,0,1,0
17,0,2,0,1,0
15,0,4,2,1,0
5,0,1,0,1,0
52,75,9,0,3,1
5,36,1,0,2,0
17,36,2,0,2,0
6,0,1,0,1,0
5,36,1,0,2,0
5,0,1,0,1,0
10,36,2,0,3,0
5,0,1,0,1,0
5,0,1,0,1,0
17,0,2,0,1,0
5,0,1,0,1,0
5,36,1,0,2,0
15,0,4,2,4,0
10,36,2,0,2,0
17,36,2,0,2,0
15,36,4,2,2,0
6,36,1,0,2,0
10,0,1,0,1,0
15,0,4,2,1,0
6,36,1,0,2,0
10,36,1,0,3,0
15,0,4,2,1,0
6,0,1,0,1,0
15,0,4,2,1,0
5,36,1,0,2,0
15,0,4,2,1,0
10,0,1,0,1,0
10,0,1,0,1,0
5,36,1,0,2,0
5,0,1,0,1,0
10,0,1,0,1,0
52,0,9,0,1,1
10,0,1,0,1,0
10,36,2,0,2,0
5,0,1,0,1,0
15,0,4,2,1,0
5,0,1,0,1,0
6,0,1,0,1,0
10,36,2,0,2,0
10,0,1,0,1,0
17,0,2,0,1,0
10,0,1,0,1,0
15,0,4,2,1,0
10,36,2,0,2,0
36,75,10,1,3,1
15,0,4,2,1,0
17,0,2,0,1,0
10,0,1,0,1,0
10,0,1,0,1,0
52,75,9,0,2,1
17,0,2,0,1,0
31,0,10,0,4,1
5,0,1,0,1,0
52,0,9,0,1,1
5,0,1,0,1,0
17,0,2,0,1,0
5,36,1,0,2,0
17,36,2,0,2,0
5,36,1,0,2,0
17,0,2,0,1,0
15,36,4,2,3,0
21,75,7,3,2,1
17,0,2,0,1,0
10,36,1,0,3,0
5,36,1,0,2,0
10,0,1,0,1,0
27,75,9,6,3,1
6,0,1,0,1,0
52,75,9,0,3,1
27,0,9,6,1,1
15,0,4,2,1,0
6,0,1,0,1,0
10,0,2,0,1,0
6,36,1,0,2,0
6,36,1,0,2,0
5,0,1,0,1,0
17,0,2,0,1,0
10,0,1,0,1,0
17,0,2,0,1,0
10,0,2,0,1,0
31,75,10,0,3,1
15,36,4,2,3,0
31,0,10,0,4,1
10,0,2,0,1,0
10,0,2,0,1,0
15,0,4,2,1,0
10,0,2,0,1,0
10,0,2,0,1,0
10,36,1,0,2,0
10,0,1,0,1,0
15,36,4,2,2,0
17,0,2,0,1,0
5,0,1,0,1,0
6,0,1,0,1,0
5,0,1,0,1,0
10,0,2,0,1,0
5,36,1,0,2,0
17,36,2,0,2,0
10,36,2,0,2,0
10,0,1,0,1,0
15,36,4,2,2,0
10,0,2,0,1,0
6,36,1,0,2,0
17,0,2,0,1,0
15,0,4,2,1,0
10,0,1,0,1,0
10,0,1,0,1,0
10,0,2,0,1,0
10,36,2,0,3,0
10,0,1,0,1,0
15,36,4,2,2,0
10,0,2,0,1,0
10,0,2,0,1,0
10,0,1,0,1,0
10,36,2,0,3,0
17,0,2,0,1,0
15,0,4,2,1,0
5,36,1,0,2,0
5,0,1,0,1,0
5,36,1,0,2,0
17,36,2,0,2,0
15,0,4,2,1,0
15,0,4,2,1,0
10,0,2,0,1,0
17,0,2,0,1,0
10,0,2,0,1,0
17,0,2,0,1,0
10,36,1,0,3,0
6,0,1,0,1,0
6,0,1,0,1,0
20,75,6,0,2,1
10,0,1,0,1,0
15,36,4,2,2,0
5,0,1,0,1,0
5,0,1,0,1,0
10,36,1,0,2,0
10,36,1,0,2,0
21,75,7,3,3,1
17,0,2,0,1,0
6,36,1,0,2,0
10,0,2,0,4,0
10,0,1,0,1,0
10,0,1,0,1,0
5,36,1,0,3,0
17,36,2,0,2,0
5,0,1,0,1,0
17,36,2,0,2,0
17,0,2,0,1,0
17,36,2,0,2,0
15,0,4,2,1,0
10,0,1,0,1,0
15,0,4,2,4,0
5,0,1,0,1,0
10,0,1,0,1,0
10,36,1,0,2,0
17,36,2,0,2,0
6,0,1,0,1,0
5,0,1,0,1,0
20,75,6,0,2,1
5,0,1,0,1,0
10,0,1,0,1,0
17,0,2,0,1,0
6,0,1,0,1,0
15,0,4,2,1,0
15,0,4,2,1,0
6,36,1,0,3,0
17,0,2,0,1,0
21,75,7,3,2,1
15,0,4,2,1,0
27,0,9,6,4,1
10,0,2,0,1,0
10,0,1,0,1,0
5,0,1,0,1,0
15,0,4,2,1,0
15,0,4,2,1,0
6,36,1,0,2,0
5,0,1,0,1,0
17,0,2,0,1,0
15,0,4,2,1,0
21,75,7,3,2,1
17,0,2,0,1,0
6,0,1,0,1,0
20,0,6,0,1,1
6,0,1,0,1,0
15,0,4,2,1,0
6,0,1,0,1,0
17,0,2,0,1,0
15,0,4,2,1,0
10,36,2,0,2,0
15,36,4,2,2,0
17,0,2,0,1,0
10,0,1,0,1,0
17,0,2,0,1,0
10,36,1,0,2,0
6,0,1,0,1,0
15,0,4,2,1,0
6,0,1,0,1,0
15,0,4,2,1,0
6,36,1,0,2,0
15,0,4,2,4,0
36,0,10,1,1,1
17,0,2,0,1,0
10,36,1,0,3,0
10,0,1,0,1,0
5,0,1,0,1,0
6,0,1,0,1,0
10,0,2,0,1,0
10,0,2,0,1,0
15,0,4,2,1,0
10,0,2,0,1,0
20,0,6,0,4,1
10,0,2,0,1,0
6,36,1,0,2,0
20,0,6,0,1,1
6,0,1,0,1,0
5,0,1,0,1,0
15,0,4,2,1,0
6,0,1,0,4,0
17,0,2,0,1,0
5,0,1,0,1,0
15,0,4,2,1,0
6,0,1,0,1,0
6,0,1,0,1,0
27,75,9,6,2,1
27,0,9,6,1,1
15,0,4,2,1,0
6,0,1,0,1,0
27,0,9,6,4,1
10,0,2,0,1,0
5,36,1,0,2,0
10,0,1,0,1,0
20,75,6,0,2,1
6,0,1,0,1,0
5,0,1,0,1,0
10,0,1,0,1,0
36,0,10,1,4,1
10,0,1,0,1,0
6,0,1,0,1,0
6,36,1,0,2,0
10,0,2,0,1,0
17,0,2,0,1,0
5,0,1,0,1,0
10,36,1,0,2,0
20,75,6,0,3,1
6,0,1,0,1,0
27,75,9,6,2,1
10,0,2,0,1,0
17,0,2,0,4,0
10,0,2,0,1,0
10,0,2,0,1,0
5,0,1,0,1,0
15,0,4,2,1,0
17,0,2,0,1,0
6,0,1,0,1,0
17,0,2,0,1,0
15,36,4,2,2,0
10,0,1,0,1,0
17,0,2,0,1,0
10,0,2,0,1,0
5,0,1,0,1,0
10,0,1,0,1,0
10,36,1,0,2,0
10,36,1,0,3,0
17,36,2,0,2,0
15,0,4,2,1,0
6,0,1,0,4,0
5,0,1,0,1,0
10,0,1,0,1,0
10,0,1,0,1,0
10,0,1,0,1,0
17,0,2,0,1,0
15,0,4,2,1,0
6,36,1,0,3,0
27,75,9,6,2,1
15,0,4,2,1,0
5,0,1,0,1,0
10,36,1,0,2,0
17,0,2,0,1,0
10,36,2,0,2,0
15,0,4,2,4,0
6,0,1,0,1,0
10,0,2,0,1,0
5,0,1,0,1,0
5,0,1,0,1,0
15,0,4,2,4,0
10,0,2,0,1,0
5,0,1,0,1,0
15,0,4,2,1,0
5,0,1,0,1,0
5,36,1,0,2,0
27,0,9,6,4,1
17,36,2,0,2,0
10,0,2,0,1,0
15,0,4,2,1,0
15,0,4,2,1,0
10,0,1,0,1,0
10,0,2,0,1,0
20,0,6,0,4,1
17,36,2,0,2,0
5,0,1,0,1,0
5,36,1,0,2,0
10,0,2,0,1,0
17,0,2,0,1,0
21,75,7,3,2,1
10,0,2,0,1,0
10,0,2,0,1,0
15,0,4,2,1,0
15,0,4,2,1,0
10,36,1,0,2,0
10,0,2,0,1,0
5,0,1,0,1,0
10,0,1,0,1,0
10,0,2,0,1,0
17,0,2,0,1,0
17,0,2,0,1,0
27,0,9,6,4,1
20,75,6,0,2,1
6,0,1,0,1,0
6,36,1,0,3,0
6,0,1,0,1,0
10,0,2,0,1,0
15,0,4,2,1,0
10,0,1,0,1,0
10,0,2,0,1,0
10,0,2,0,1,0
17,0,2,0,1,0
17,0,2,0,1,0
6,0,1,0,1,0
10,0,1,0,1,0
10,0,1,0,1,0
5,0,1,0,1,0
6,0,1,0,1,0
31,0,10,0,4,1
10,0,1,0,1,0
17,0,2,0,1,0
15,0,4,2,1,0
5,0,1,0,1,0
17,0,2,0,1,0
5,0,1,0,1,0
52,75,9,0,2,1
10,0,2,0,1,0
10,0,2,0,1,0
5,36,1,0,2,0
10,0,1,0,1,0
17,36,2,0,2,0
6,0,1,0,1,0
5,0,1,0,1,0
10,0,1,0,1,0
6,0,1,0,1,0
17,0,2,0,1,0
6,36,1,0,2,0
36,75,10,1,2,1
10,0,2,0,1,0
17,36,2,0,2,0
6,36,1,0,2,0
15,0,4,2,1,0
6,36,1,0,3,0
6,0,1,0,1,0
6,0,1,0,1,0
5,0,1,0,1,0
10,36,1,0,3,0
10,0,2,0,1,0
17,0,2,0,1,0
52,75,9,0,2,1
15,0,4,2,1,0
17,0,2,0,1,0
6,0,1,0,1,0
5,0,1,0,1,0
5,36,1,0,3,0
6,0,1,0,1,0
10,0,1,0,1,0
10,0,1,0,1,0
17,0,2,0,1,0
17,0,2,0,1,0
10,0,2,0,1,0
10,0,2,0,1,0
10,36,1,0,2,0
36,75,10,1,2,1
6,0,1,0,1,0
17,36,2,0,2,0
31,75,10,0,3,1
15,36,4,2,3,0
10,0,2,0,1,0
10,0,2,0,1,0
15,0,4,2,1,0
10,0,2,0,1,0
5,36,1,0,2,0
5,0,1,0,1,0
15,0,4,2,1,0
10,0,2,0,1,0
17,0,2,0,1,0
10,0,2,0,1,0
6,0,1,0,1,0
21,75,7,3,2,1
15,36,4,2,2,0
10,0,1,0,1,0
17,36,2,0,2,0
6,36,1,0,2,0
21,75,7,3,2,1
10,0,1,0,1,0
17,0,2,0,1,0
6,0,1,0,1,0
10,36,2,0,2,0
6,36,1,0,2,0
5,0,1,0,1,0
31,0,10,0,4,1
5,36,1,0,2,0
15,0,4,2,1,0
6,36,1,0,2,0
17,0,2,0,1,0
10,0,2,0,1,0
10,0,2,0,1,0
10,0,2,0,1,0
10,0,2,0,1,0
10,0,1,0,1,0
20,75,6,0,3,1
17,0,2,0,1,0
21,75,7,3,2,1
27,75,9,6,3,1
10,0,2,0,1,0
15,0,4,2,1,0
27,0,9,6,1,1
6,36,1,0,2,0
27,75,9,6,2,1
17,0,2,0,1,0
10,36,2,0,2,0
17,0,2,0,1,0
17,0,2,0,1,0
5,0,1,0,1,0
10,36,2,0,2,0
6,36,1,0,2,0
15,0,4,2,1,0
17,36,2,0,2,0
5,0,1,0,4,0
10,36,1,0,2,0
15,0,4,2,1,0
10,0,1,0,1,0
5,0,1,0,1,0
10,0,1,0,1,0
6,0,1,0,1,0
10,0,2,0,1,0
27,75,9,6,2,1
15,36,4,2,3,0
17,0,2,0,1,0
5,36,1,0,3,0
10,36,2,0,2,0
10,0,1,0,1,0
17,0,2,0,1,0
6,0,1,0,1,0
17,0,2,0,1,0
36,75,10,1,2,1
10,0,1,0,1,0
15,0,4,2,1,0
10,0,2,0,1,0
17,0,2,0,1,0
6,36,1,0,2,0
6,36,1,0,2,0
10,0,1,0,1,0
15,36,4,2,2,0
10,0,2,0,1,0
10,0,2,0,1,0
6,0,1,0,1,0
6,0,1,0,1,0
10,0,1,0,1,0
10,36,1,0,2,0
15,36,4,2,2,0
31,75,10,0,2,1
31,75,10,0,2,1
5,0,1,0,1,0
15,36,4,2,2,0
17,36,2,0,2,0
15,0,4,2,1,0
15,0,4,2,1,0
10,0,2,0,1,0
6,0,1,0,1,0
15,36,4,2,2,0
36,75,10,1,2,1
17,0,2,0,1,0
6,0,1,0,1,0
10,0,2,0,1,0
6,0,1,0,1,0
5,36,1,0,2,0
17,0,2,0,1,0
15,0,4,2,1,0
10,36,2,0,2,0
10,0,1,0,1,0
10,0,2,0,1,0
27,0,9,6,4,1
10,0,1,0,1,0
10,0,1,0,1,0
5,0,1,0,1,0
10,0,1,0,1,0
10,0,2,0,1,0
10,0,2,0,1,0
10,0,2,0,1,0
10,36,2,0,2,0
10,0,2,0,1,0
10,0,1,0,1,0
15,0,4,2,1,0
10,0,2,0,1,0
6,36,1,0,2,0
10,0,1,0,1,0
17,0,2,0,1,0
6,36,1,0,2,0
10,0,2,0,1,0
5,0,1,0,1,0
17,0,2,0,1,0
17,0,2,0,1,0
17,0,2,0,1,0
17,0,2,0,1,0
15,0,4,2,1,0
10,0,1,0,1,0
5,36,1,0,2,0
5,36,1,0,2,0
17,0,2,0,1,0
15,0,4,2,1,0
15,0,4,2,1,0
17,0,2,0,4,0
17,0,2,0,1,0
6,0,1,0,1,0
10,0,2,0,1,0
6,0,1,0,4,0
5,0,1,0,1,0
17,0,2,0,1,0
15,0,4,2,1,0
10,36,2,0,2,0
15,0,4,2,1,0
6,36,1,0,2,0
17,0,2,0,1,0
5,36,1,0,3,0
52,75,9,0,2,1
10,0,2,0,1,0
31,75,10,0,2,1
10,0,1,0,1,0
6,36,1,0,2,0
17,0,2,0,1,0
6,0,1,0,1,0
52,75,9,0,2,1
6,0,1,0,1,0
6,0,1,0,1,0
31,0,10,0,4,1
10,36,1,0,3,0
5,0,1,0,1,0
15,36,4,2,2,0
6,0,1,0,1,0
5,36,1,0,2,0
10,0,2,0,1,0
15,0,4,2,1,0
10,0,2,0,1,0
15,0,4,2,1,0
15,0,4,2,1,0
10,0,2,0,1,0
6,0,1,0,1,0
15,0,4,2,1,0
20,75,6,0,2,1
5,0,1,0,1,0
6,0,1,0,1,0
10,0,2,0,1,0
17,0,2,0,1,0
15,36,4,2,2,0
5,0,1,0,1,0
17,36,2,0,2,0
5,0,1,0,1,0
15,0,4,2,1,0
5,0,1,0,1,0
6,0,1,0,1,0
21,0,7,3,1,1
